,sample_id
126,ewoco-water-v1-6047956_2
127,ewoco-1976628_3
128,2020_NGA_WFP_POLY_1111624_3109
129,ewoco-water-v1-6009456_7
130,2018_SN_JECAM_CIRAD_POLY_111280_1886
131,2020_NGA_WFP_POLY_1111861_1955
132,2018_AS_Remelgado_POLY_111513_3158
133,ewoco-1690760_3
134,ewoco-iiasa-10m-v1-2182228_6
135,ewoco-iiasa-100m-v1-1939279_7
136,ewoco-1687695_3
137,2021_AF_DE-WA-TRAIN1_POLY_1001239_2018
138,2018_BF_JECAM_CIRAD_POLY_111760_1267
139,2020_SDN_WAPOR_2_POLY_111326_1669
140,ewoco-1977923_3
141,ewoco-1977360_3
142,2019Usda1115333_65
143,ewoco-1977000_7
144,2021_AF_DE-WA-TRAIN1_POLY_1001176_2019
145,ewoco-2179239_2
146,2018_SN_JECAM_CIRAD_POLY_111609_2559
147,2018_AS_Remelgado_POLY_111377_1471
148,ewoco-1978415_3
149,2018_AS_Remelgado_POLY_111143_30
150,ewoco-water-v1-6075743_6
151,ewoco-1978215_3
152,2018_BF_JECAM_CIRAD_POLY_111376_2081
153,ewoco-1689406_3
154,ewoco-urban-v1-5022642_2
155,2019_SN_JECAM_CIRAD_POLY_111656_2015
156,ewoco-iiasa-10m-v1-1686831_3
157,2018_AS_Remelgado_POLY_111253_3436
158,2020_ETH_NHI-CROP-HARVEST_POINT_100389_2533
159,2020_NGA_WFP_POLY_1112142_895
160,ewoco-1761658_3
161,2018_AS_Remelgado_POLY_1111385_1645
162,2018_AS_Remelgado_POLY_1112075_2333
163,ewoco-1977248_3
164,ewoco-1689601_3
165,ewoco-urban-v1-5052760_6
166,ewoco-water-v1-6113137_7
167,ewoco-1689089_3
168,ewoco-iiasa-10m-v1-2165926_3
169,2020_NGA_WFP_POLY_1114443_1757
170,ewoco-iiasa-10m-v1-2179233_6
171,2021_AF_DE-WA-TRAIN1_POLY_1001089_2018
172,ewoco-urban-v1-5054564_6
173,ewoco-water-v1-6153900_7
174,ewoco-1978258_3
175,2018_SN_JECAM_CIRAD_POLY_11127_200
176,2018_BF_JECAM_CIRAD_POLY_111825_2017
177,2021_AF_DE-WA-TRAIN1_POLY_100909_1888
178,2020_NGA_WFP_POLY_1111060_2227
179,2021_AF_DE-WA-TRAIN1_POLY_100683_2078
180,2018_BF_JECAM_CIRAD_POLY_111239_1139
181,ewoco-urban-v1-5054311_7
182,2018_AS_Remelgado_POLY_1111773_1255
183,2018_AS_Remelgado_POLY_1111702_2082
184,2018_SN_JECAM_CIRAD_POLY_111652_3088
185,ewoco-1976400_3
186,2018_BF_JECAM_CIRAD_POLY_111965_2332
187,ewoco-2186691_3
188,2018_SN_JECAM_CIRAD_POLY_111626_1951
189,ewoco-2172232_3
190,ewoco-iiasa-10m-v1-1689998_7
191,ewoco-1690232_3
192,2018_BF_JECAM_CIRAD_POLY_1111054_2082
193,ewoco-1977083_3
194,senwapor2-37_2079
195,ewoco-water-v1-6170705_6
196,2020_NGA_WFP_POLY_1113578_2206
197,2018_BF_JECAM_CIRAD_POLY_111640_1683
198,2018_SN_JECAM_CIRAD_POLY_1111185_3691
199,ewoco-iiasa-10m-v1-2784212_3
200,2018_AS_Remelgado_POLY_1112256_3777
201,2019_SN_JECAM_CIRAD_POLY_11128_3019
202,ewoco-1690191_3
203,ewoco-1977055_3
204,ewoco-iiasa-10m-v1-2775189_3
205,ewoco-2182707_3
206,2019_AF_NHI-CROP-HARVEST_POLY_1001888_1133
207,2018_AS_Remelgado_POLY_111671_3163
208,2018_AS_Remelgado_POLY_111403_1497
209,2019_AF_NHI-CROP-HARVEST_POLY_1001817_1968
210,ewoco-1691345_3
211,2018_SN_JECAM_CIRAD_POLY_111308_1762
212,2020_AF_NHI-CROP-HARVEST_POINT_100738_3
213,2020_NGA_WFP_POLY_1111211_3298
214,ewoco-water-v1-6038502_7
215,2018_AS_Remelgado_POLY_1112177_2007
216,2019_AF_DE-WA-VAL1_POINT_10018_7
217,ewoco-1977893_3
218,2020_SDN_WAPOR_1_POLY_110120_1622
219,ewoco-iiasa-10m-v1-2792548_6
220,ewoco-urban-v1-5073667_6
221,2019_SN_JECAM_CIRAD_POLY_111342_2202
222,2018_SN_JECAM_CIRAD_POLY_111683_1092
223,ewoco-iiasa-10m-v1-2165867_2
224,2019_SN_JECAM_CIRAD_POLY_111655_1885
225,ewoco-iiasa-10m-v1-1940546_2
226,ewoco-1686085_3
227,2019_AF_NHI-CROP-HARVEST_POLY_100704_2016
228,ewoco-1977282_3
229,ewoco-1691150_3
230,ewoco-1688313_3
231,2020_NGA_WFP_POLY_111601_789
232,2018_MLI_NHI-CROP-HARVEST_POLY_11039_1887
233,2018_AS_Remelgado_POLY_111951_1449
234,2018_AS_Remelgado_POLY_1112352_2660
235,2019_SN_JECAM_CIRAD_POLY_111562_767
236,ewoco-1688665_3
237,2018_BF_JECAM_CIRAD_POLY_1111015_1153
238,ewoco-2172075_3
239,ewoco-2181700_3
240,2018_AS_Remelgado_POLY_1111409_689
241,ewoco-1762387_3
242,ewoco-2181224_3
243,ewoco-1689599_3
244,ewoco-urban-v1-5017581_7
245,2018_AS_Remelgado_POLY_111612_1681
246,ewoco-1978479_3
247,ewoco-1686114_3
248,ewoco-iiasa-10m-v1-1977492_3
249,ewoco-iiasa-100m-v1-1685706_2
250,ewoco-iiasa-10m-v1-1690769_2
251,2018_AS_Remelgado_POLY_1111505_2118
252,2019_SN_JECAM_CIRAD_POLY_111156_1950
253,2020_NGA_WFP_POLY_1114064_2017
254,2018_MLI_NHI-CROP-HARVEST_POLY_11053_2082
255,ewoco-1940617_3
256,ewoco-water-v1-6095169_7
257,2018_BF_JECAM_CIRAD_POLY_111538_3124
258,2018_AS_Remelgado_POLY_1112267_1840
259,ewoco-1939921_3
260,ewoco-gmw-v1-7910059_6
261,ewoco-2165855_3
262,2020_NGA_WFP_POLY_1111638_1950
263,ewoco-iiasa-10m-v1-2791812_7
264,2018_BF_JECAM_CIRAD_POLY_111541_1257
265,2020_SDN_WAPOR_1_POLY_110232_401
266,2018_BF_JECAM_CIRAD_POLY_111889_88
267,2018_SN_JECAM_CIRAD_POLY_111721_1953
268,2018_MLI_NHI-CROP-HARVEST_POLY_11017_1946
269,ewoco-1689077_3
270,ewoco-1689850_3
271,senwapor1-32_2017
272,ewoco-iiasa-10m-v1-1690385_7
273,2018_AS_Remelgado_POLY_1111361_3220
274,2018_SN_JECAM_CIRAD_POLY_111776_2330
275,2020_SDN_WAPOR_1_POLY_110272_1572
276,2018_AS_Remelgado_POLY_11143_2436
277,ewoco-1688354_3
278,2020_AF_NHI-CROP-HARVEST_POINT_100577_6
279,ewoco-1681797_3
280,2018_AS_Remelgado_POLY_1112553_1338
281,2021_AF_DE-WA-TRAIN1_POLY_1001179_1952
282,2018_AS_Remelgado_POLY_1111041_1632
283,2018_BF_JECAM_CIRAD_POLY_111877_412
284,ewoco-1977984_3
285,ewoco-1976670_3
286,2018_MLI_NHI-CROP-HARVEST_POLY_1104_1698
287,ewoco-gmw-v1-7913176_6
288,2021_AF_DE-WA-TRAIN1_POLY_100422_2081
289,2019_AF_DE-WA-VAL1_POINT_10055_3
290,2018_AS_Remelgado_POLY_1111927_2326
291,2019_SN_JECAM_CIRAD_POLY_111207_1904
292,ewoco-water-v1-6097197_6
293,2018_AS_Remelgado_POLY_1112633_2523
294,ewoco-gmw-v1-7912958_7
295,2018_AS_Remelgado_POLY_1112121_682
296,ewoco-water-v1-6048263_7
297,2018_BF_JECAM_CIRAD_POLY_111878_377
298,2018_AS_Remelgado_POLY_111952_3910
299,ewoco-2181727_3
300,2019_SN_JECAM_CIRAD_POLY_11159_1698
301,2018_AS_Remelgado_POLY_1111732_2718
302,2020_NGA_WFP_POLY_1111073_1759
303,2020_NGA_WFP_POLY_1114637_1083
304,ewoco-water-v1-6176454_2
305,2020_NGA_WFP_POLY_1112035_3799
306,ewoco-1977365_3
307,2018_AS_Remelgado_POLY_1112126_2974
308,ewoco-iiasa-100m-v1-1686025_3
309,ewoco-1978583_3
310,2020_NGA_WFP_POLY_1113032_3679
311,ewoco-1976477_3
312,ewoco-urban-v1-5011403_7
313,ewoco-2198755_3
314,2018_SN_JECAM_CIRAD_POLY_1111057_1866
315,ewoco-water-v1-6028165_6
316,2018_AS_Remelgado_POLY_1112178_2884
317,ewoco-1979256_3
318,ewoco-1979396_3
319,ewoco-1689090_3
320,2020_NGA_WFP_POLY_1112111_1364
321,2019_SN_JECAM_CIRAD_POLY_111622_2144
322,ewoco-1686084_3
323,2018_BF_JECAM_CIRAD_POLY_111162_2805
324,2020_NGA_WFP_POLY_1112052_2340
325,ewoco-iiasa-100m-v1-1685661_3
326,ewoco-1688239_3
327,ewoco-1939671_3
328,2021_AF_DE-WA-TRAIN1_POLY_100377_2016
329,2020_NGA_WFP_POLY_1113533_1954
330,ewoco-1939930_3
331,ewoco-iiasa-10m-v1-2108266_7
332,ewoco-water-v1-6086920_6
333,ewoco-iiasa-10m-v1-2797411_2
334,2020_NGA_WFP_POLY_1114202_2079
335,ewoco-1690759_3
336,2018_BF_JECAM_CIRAD_POLY_111827_1953
337,ewoco-2186581_3
338,2018_AS_Remelgado_POLY_1111575_1807
339,ewoco-1940157_3
340,ewoco-water-v1-6176012_6
341,2018_AS_Remelgado_POLY_1111747_2595
342,ewoco-gmw-v1-7910311_6
343,2018_AS_Remelgado_POLY_111655_1235
344,ewoco-urban-v1-5062646_7
345,2020_AF_NHI-CROP-HARVEST_POINT_100683_7
346,ewoco-1940807_3
347,ewoco-water-v1-6176329_3
348,2018_AS_Remelgado_POLY_111444_4091
349,2018_AS_Remelgado_POLY_1111487_4090
350,ewoco-1939296_3
351,2018_AS_Remelgado_POLY_111244_1892
352,ewoco-water-v1-6151283_7
353,ewoco-1977035_3
354,ewoco-urban-v1-5070796_2
355,ewoco-iiasa-100m-v1-1688191_7
356,2020_SDN_WAPOR_1_POLY_110210_52
357,2020_NGA_WFP_POLY_1112162_1950
358,2018_AS_Remelgado_POLY_111137_715
359,ewoco-1690746_3
360,ewoco-iiasa-100m-v1-1939997_7
361,ewoco-1686836_3
362,ewoco-iiasa-100m-v1-1686150_2
363,2018_AS_Remelgado_POLY_111738_3475
364,ewoco-1688091_3
365,2018_BF_JECAM_CIRAD_POLY_111286_467
366,2018_AS_Remelgado_POLY_111911_2737
367,2021_AF_DE-WA-TRAIN1_POLY_100296_2018
368,ewoco-1978339_3
369,2018_BF_JECAM_CIRAD_POLY_111200_3134
370,ewoco-water-v1-6069887_6
371,ewoco-1690051_3
372,2018_SN_JECAM_CIRAD_POLY_111711_1952
373,2020_NGA_WFP_POLY_1112124_2022
374,ewoco-urban-v1-5068753_6
375,2020_NGA_WFP_POLY_111569_1207
376,2018_AS_Remelgado_POLY_111993_684
377,ewoco-gmw-v1-7910436_6
378,ewoco-1979207_3
379,2018_AS_Remelgado_POLY_1112302_2395
380,ewoco-gmw-v1-7912962_7
381,2019_SN_JECAM_CIRAD_POLY_11120_1378
382,2018_AS_Remelgado_POLY_1112301_2326
383,ewoco-iiasa-10m-v1-2779180_2
384,ewoco-1977243_3
385,ewoco-iiasa-10m-v1-2792323_6
386,ewoco-1689365_3
387,ewoco-gmw-v1-7910460_7
388,ewoco-water-v1-6011140_6
389,ewoco-2180487_3
390,ewoco-1939669_3
391,2021_AF_DE-WA-TRAIN1_POLY_1001100_2081
392,2018_BF_JECAM_CIRAD_POLY_111726_1619
393,2020_NGA_WFP_POLY_1112891_3843
394,2020_NGA_WFP_POLY_1111519_3075
395,ewoco-water-v1-6146703_7
396,ewoco-water-v1-6175496_3
397,2018_AS_Remelgado_POLY_111795_1189
398,2020_NGA_WFP_POLY_111308_1951
399,ewoco-1939525_3
400,2020_NGA_WFP_POLY_1112050_1949
401,ewoco-iiasa-10m-v1-1690381_6
402,2021_AF_DE-WA-TRAIN1_POLY_1001178_2082
403,2020_SDN_WAPOR_2_POLY_111115_353
404,2018_NER_WAPOR_1_POLY_1113_1489
405,ewoco-1978091_3
406,2021_AF_DE-WA-TRAIN1_POLY_100281_2080
407,ewoco-iiasa-10m-v1-2166022_7
408,ewoco-1686604_3
409,2019_AF_NHI-CROP-HARVEST_POLY_100704_1953
410,2018_AS_Remelgado_POLY_111190_2678
411,ewoco-1978599_3
412,2020_SDN_WAPOR_1_POLY_110347_1443
413,2020_SDN_WAPOR_1_POLY_110211_1958
414,ewoco-1976960_3
415,2018_BF_JECAM_CIRAD_POLY_111227_4063
416,2018_AS_Remelgado_POLY_1112171_1880
417,ewoco-1977959_3
418,ewoco-1994331_3
419,2021_AF_DE-WA-TRAIN1_POLY_100224_2076
420,ewoco-iiasa-10m-v1-1976617_3
421,2018_BF_JECAM_CIRAD_POLY_111843_1023
422,ewoco-iiasa-10m-v1-1939384_3
423,ewoco-1689978_3
424,ewoco-2172264_3
425,ewoco-1939647_3
426,2018_AS_Remelgado_POLY_1111909_2151
427,2018_AS_Remelgado_POLY_1112393_1484
428,ewoco-iiasa-10m-v1-2792054_2
429,ewoco-iiasa-100m-v1-1760234_2
430,ewoco-water-v1-6190950_3
431,2018_AS_Remelgado_POLY_111826_2163
432,ewoco-1760117_3
433,ewoco-iiasa-10m-v1-1687278_2
434,ewoco-water-v1-6147156_6
435,2020_AF_NHI-CROP-HARVEST_POINT_100579_3
436,2020_SDN_WAPOR_1_POLY_110268_2340
437,ewoco-1978416_3
438,ewoco-2172085_3
439,2021_AF_DE-WA-TRAIN1_POLY_1001136_1825
440,2018_BF_JECAM_CIRAD_POLY_111250_781
441,2020_NGA_WFP_POLY_11132_2079
442,ewoco-2180602_3
443,ewoco-gmw-v1-7910515_7
444,2020_NGA_WFP_POLY_1111470_3497
445,2019Usda1202096_1989
446,ewoco-iiasa-10m-v1-2792162_7
447,ewoco-2182098_6
448,ewoco-urban-v1-5048142_6
449,ewoco-water-v1-6140162_2
450,ewoco-gmw-v1-7912452_6
451,2020_NGA_WFP_POLY_1112730_2147
452,2018_AS_Remelgado_POLY_1112378_2198
453,2018_SN_JECAM_CIRAD_POLY_111751_3173
454,2018_BF_JECAM_CIRAD_POLY_111973_1571
455,ewoco-iiasa-10m-v1-2762438_6
456,2020_AF_NHI-CROP-HARVEST_POINT_100755_6
457,2018_MLI_NHI-CROP-HARVEST_POLY_11019_1759
458,ewoco-urban-v1-5040475_6
459,ewoco-water-v1-6151488_7
460,2020_NGA_WFP_POLY_111882_1694
461,ewoco-iiasa-10m-v1-2797379_2
462,ewoco-iiasa-100m-v1-1685573_3
463,ewoco-iiasa-10m-v1-2775195_6
464,ewoco-1688494_3
465,ewoco-iiasa-100m-v1-1685914_6
466,2020_SDN_WAPOR_2_POLY_111107_2223
467,ewoco-iiasa-10m-v1-2774069_2
468,2018_BF_JECAM_CIRAD_POLY_111768_1180
469,ewoco-2181780_3
470,ewoco-urban-v1-5041509_7
471,2018_AS_Remelgado_POLY_1111732_3186
472,2020_SDN_WAPOR_1_POLY_110322_2536
473,ewoco-urban-v1-5047123_7
474,ewoco-water-v1-6037708_7
475,2020_NGA_WFP_POLY_1112990_1954
476,ewoco-water-v1-6157868_7
477,ewoco-water-v1-6195228_2
478,2018_BF_JECAM_CIRAD_POLY_1111089_2148
479,ewoco-iiasa-100m-v1-1685505_6
480,ewoco-iiasa-10m-v1-2755224_3
481,ewoco-1978245_3
482,2020_SDN_WAPOR_1_POLY_110109_3802
483,2018_AS_Remelgado_POLY_111186_3730
484,2021_AF_DE-WA-TRAIN1_POLY_100465_2145
485,2018_AS_Remelgado_POLY_111527_1754
486,2018_BF_JECAM_CIRAD_POLY_1111051_1888
487,ewoco-2186597_3
488,2021_AF_DE-WA-TRAIN1_POLY_1001171_1954
489,2021_AF_DE-WA-TRAIN1_POLY_100514_2083
490,ewoco-1976503_3
491,ewoco-1686938_3
492,ewoco-1687354_3
493,2018_AS_Remelgado_POLY_1112195_1780
494,ewoco-iiasa-10m-v1-2775130_7
495,2020_NGA_WFP_POLY_1113303_2207
496,2020_SDN_WAPOR_1_POLY_110166_1840
497,2018_AS_Remelgado_POLY_1112323_991
498,ewoco-1940402_3
499,ewoco-gmw-v1-7910149_6
500,ewoco-iiasa-10m-v1-2769844_7
501,2018_SN_JECAM_CIRAD_POLY_111129_2481
502,ewoco-iiasa-100m-v1-1771022_2
503,ewoco-1686465_3
504,ewoco-iiasa-10m-v1-2797077_7
505,2018_BF_JECAM_CIRAD_POLY_111877_1894
506,ewoco-1940246_3
507,ewoco-1978353_3
508,2018_AS_Remelgado_POLY_1112112_1763
509,2020_NGA_WFP_POLY_111862_72
510,2018_BF_JECAM_CIRAD_POLY_111586_2073
511,2018_BF_JECAM_CIRAD_POLY_111876_1883
512,2020_NGA_WFP_POLY_111414_2729
513,ewoco-2182792_3
514,ewoco-1994521_3
515,ewoco-water-v1-6078878_3
516,ewoco-1939409_3
517,2018_SN_JECAM_CIRAD_POLY_111736_1827
518,ewoco-urban-v1-5014336_7
519,2018_AS_Remelgado_POLY_1112169_559
520,2020_NGA_WFP_POLY_1113413_1892
521,ewoco-1687101_3
522,2018_AS_Remelgado_POLY_1111020_3035
523,ewoco-water-v1-6198040_6
524,2018_AS_Remelgado_POLY_1111925_2325
525,ewoco-iiasa-10m-v1-2775077_7
526,2018_NER_WAPOR_1_POLY_11130_1829
527,2018_BF_JECAM_CIRAD_POLY_1111031_1938
528,ewoco-1688628_3
529,2020_NGA_WFP_POLY_1111724_1705
530,2019_SN_JECAM_CIRAD_POLY_11189_1503
531,2018_BF_JECAM_CIRAD_POLY_111877_1626
532,2018_BF_JECAM_CIRAD_POLY_111905_2210
533,2020_SDN_WAPOR_2_POLY_111100_1640
534,ewoco-urban-v1-5039771_7
535,2018_AS_Remelgado_POLY_1111063_2687
536,2018_NER_WAPOR_1_POLY_11114_2842
537,ewoco-2186616_3
538,2019_SN_JECAM_CIRAD_POLY_111629_2078
539,2021_AF_DE-WA-TRAIN1_POLY_100823_1889
540,2018_AS_Remelgado_POLY_111459_2793
541,ewoco-water-v1-6133746_7
542,2020_NGA_WFP_POLY_1111680_1883
543,2018_SN_JECAM_CIRAD_POLY_1111184_1959
544,ewoco-iiasa-10m-v1-2758976_6
545,ewoco-1686945_3
546,ewoco-iiasa-10m-v1-2782802_3
547,2018_AS_Remelgado_POLY_1111978_1192
548,2021_AF_DE-WA-TRAIN1_POLY_100673_2079
549,ewoco-urban-v1-5024294_7
550,2018_AS_Remelgado_POLY_111148_2591
551,2020_NGA_WFP_POLY_1113324_484
552,ewoco-gmw-v1-7910268_6
553,ewoco-iiasa-100m-v1-1687289_2
554,2018_AS_Remelgado_POLY_111540_1964
555,2018_AS_Remelgado_POLY_111848_1869
556,ewoco-urban-v1-5051287_3
557,2020_SDN_WAPOR_2_POLY_111238_1630
558,2018_SN_JECAM_CIRAD_POLY_111664_1406
559,2018_AS_Remelgado_POLY_111398_2775
560,2020_SDN_WAPOR_1_POLY_110181_1234
561,ewoco-2177162_3
562,2019_AF_NHI-CROP-HARVEST_POLY_1001804_1952
563,ewoco-water-v1-6027135_7
564,2021_AF_DE-WA-TRAIN1_POLY_100757_2082
565,2019_SN_JECAM_CIRAD_POLY_11168_1305
566,2018_BF_JECAM_CIRAD_POLY_1111001_2663
567,ewoco-1687726_3
568,ewoco-2182263_3
569,ewoco-iiasa-100m-v1-1939618_2
570,2020_NGA_WFP_POLY_1113077_1884
571,ewoco-water-v1-6102989_6
572,ewoco-urban-v1-5021525_6
573,2020_AF_NHI-CROP-HARVEST_POINT_100613_2
574,ewoco-1687702_3
575,ewoco-water-v1-6131814_6
576,2018_AS_Remelgado_POLY_1112066_2149
577,ewoco-1940377_3
578,ewoco-iiasa-10m-v1-1689232_3
579,2018_BF_JECAM_CIRAD_POLY_111893_2204
580,ewoco-2172147_3
581,2018_AS_Remelgado_POLY_111778_2972
582,2018_SN_JECAM_CIRAD_POLY_111266_989
583,ewoco-gmw-v1-7910513_6
584,ewoco-iiasa-100m-v1-1685699_3
585,2020_NGA_WFP_POLY_1113494_2394
586,ewoco-urban-v1-5047220_6
587,2020_NGA_WFP_POLY_1111497_1882
588,ewoco-1691332_3
589,ewoco-water-v1-6041005_7
590,2019_SN_JECAM_CIRAD_POLY_111475_1826
591,2018_AS_Remelgado_POLY_1111137_2198
592,2018_BF_JECAM_CIRAD_POLY_111833_2174
593,ewoco-iiasa-100m-v1-1685702_6
594,ewoco-1688063_3
595,ewoco-water-v1-6166673_6
596,2020_NGA_WFP_POLY_1111498_2081
597,2018_AS_Remelgado_POLY_1112160_1902
598,2020_ETH_NHI-CROP-HARVEST_POINT_100412_1364
599,ewoco-water-v1-6042815_6
600,ewoco-1762312_3
601,2018_AS_Remelgado_POLY_111346_1895
602,ewoco-iiasa-10m-v1-2792561_3
603,2021_AF_DE-WA-TRAIN1_POLY_100556_2018
604,2018_AS_Remelgado_POLY_1112485_2396
605,ewoco-iiasa-10m-v1-2797933_7
606,ewoco-urban-v1-5046758_7
607,ewoco-1688797_3
608,ewoco-iiasa-10m-v1-2759032_6
609,2018_SN_JECAM_CIRAD_POLY_111552_1887
610,2020_NGA_WFP_POLY_1111815_2322
611,2020_NGA_WFP_POLY_1112709_2336
612,2020_SDN_WAPOR_1_POLY_110250_1316
613,2018_AS_Remelgado_POLY_1111801_3574
614,ewoco-iiasa-10m-v1-2792257_3
615,2018_BF_JECAM_CIRAD_POLY_111242_161
616,2018_AS_Remelgado_POLY_111383_2141
617,2020_NGA_WFP_POLY_1112739_1381
618,2020_SDN_WAPOR_2_POLY_1119_2208
619,ewoco-1940112_3
620,ewoco-urban-v1-5023352_7
621,senwapor2-4_1822
622,2018_AS_Remelgado_POLY_1111322_1741
623,ewoco-1687008_3
624,ewoco-water-v1-6063310_7
625,ewoco-2165739_2
626,2018_BF_JECAM_CIRAD_POLY_111899_1954
627,2020_NGA_WFP_POLY_1111987_1942
628,2020_SDN_WAPOR_2_POLY_111297_351
629,ewoco-1977482_3
630,ewoco-water-v1-6200135_7
631,2020_NGA_WFP_POLY_1114376_1963
632,2018_BF_JECAM_CIRAD_POLY_111139_3293
633,2018_NER_WAPOR_1_POLY_11126_2387
634,2020_NGA_WFP_POLY_1113904_2208
635,ewoco-water-v1-6088211_6
636,ewoco-1688735_3
637,ewoco-iiasa-10m-v1-2792296_3
638,ewoco-water-v1-6176269_3
