ewoc_code;level_1;level_2;level_3;level_4;level_5;definition;label_full;LC_code;LC_label;sampling_label;sampling_label_v0;finetune_class
11-01-03-001-2;temporary_crops;cereals;rye;common_rye;spring_common_rye;;spring_common_rye;11;temporary_crops;spring_rye;rye;spring_rye
11-01-03-002-0;temporary_crops;cereals;rye;other_rye;;other Secale species than S. cereale;other_rye;11;temporary_crops;rye;rye;rye
11-01-03-002-1;temporary_crops;cereals;rye;other_rye;winter_other_rye;;winter_other_rye;11;temporary_crops;rye;rye;rye
11-01-03-002-2;temporary_crops;cereals;rye;other_rye;spring_other_rye;;spring_other_rye;11;temporary_crops;spring_rye;rye;spring_rye
11-01-04-000-0;temporary_crops;cereals;oats;unspecified_oats;;Avena genus;unspecified_oats;11;temporary_crops;oats;oats;oats
11-01-04-000-1;temporary_crops;cereals;oats;unspecified_oats;winter_oats;;winter_oats;11;temporary_crops;oats;oats;oats
11-01-04-000-2;temporary_crops;cereals;oats;unspecified_oats;spring_oats;;spring_oats;11;temporary_crops;spring_oats;oats;spring_oats
11-01-04-000-3;temporary_crops;cereals;oats;unspecified_oats;fodder_oats;;fodder_oats;11;temporary_crops;oats;oats;oats
11-01-04-000-4;temporary_crops;cereals;oats;unspecified_oats;fodder_winter_oats;;fodder_winter_oats;11;temporary_crops;oats;oats;oats
11-01-04-000-5;temporary_crops;cereals;oats;unspecified_oats;fodder_spring_oats;;fodder_spring_oats;11;temporary_crops;spring_oats;oats;spring_oats
11-01-04-001-0;temporary_crops;cereals;oats;common_oats;;Avena sativa;common_oats;11;temporary_crops;oats;oats;oats
11-01-04-001-1;temporary_crops;cereals;oats;common_oats;winter_common_oats;;winter_common_oats;11;temporary_crops;oats;oats;oats
11-01-04-001-2;temporary_crops;cereals;oats;common_oats;spring_common_oats;;spring_common_oats;11;temporary_crops;spring_oats;oats;spring_oats
11-01-04-002-0;temporary_crops;cereals;oats;other_oats;;other Avena species than A. sativa;other_oats;11;temporary_crops;oats;oats;oats
11-01-04-002-1;temporary_crops;cereals;oats;other_oats;winter_other_oats;;winter_other_oats;11;temporary_crops;oats;oats;oats
11-01-04-002-2;temporary_crops;cereals;oats;other_oats;spring_other_oats;;spring_other_oats;11;temporary_crops;spring_oats;oats;spring_oats
11-01-04-003-0;temporary_crops;cereals;oats;bristle_oats;;Avena strigosa;bristle_oats;11;temporary_crops;oats;oats;oats
11-01-05-000-0;temporary_crops;cereals;triticale;triticale;;Hybrid between wheat and rye;triticale;11;temporary_crops;cereals;other_cereals;cereals
11-01-05-000-1;temporary_crops;cereals;triticale;triticale;winter_triticale;;winter_triticale;11;temporary_crops;cereals;other_cereals;cereals
11-01-05-000-2;temporary_crops;cereals;triticale;triticale;spring_triticale;;spring_triticale;11;temporary_crops;spring_cereals;other_cereals;spring_cereals
11-01-05-000-3;temporary_crops;cereals;triticale;triticale;fodder_triticale;;fodder_triticale;11;temporary_crops;cereals;other_cereals;cereals
11-01-05-000-4;temporary_crops;cereals;triticale;triticale;fodder_winter_triticale;;fodder_winter_triticale;11;temporary_crops;cereals;other_cereals;cereals
11-01-05-000-5;temporary_crops;cereals;triticale;triticale;fodder_spring_triticale;;fodder_spring_triticale;11;temporary_crops;spring_cereals;other_cereals;spring_cereals
11-01-06-000-0;temporary_crops;cereals;maize;maize;;Zea mays;maize;11;temporary_crops;maize;maize;maize
11-01-06-000-1;temporary_crops;cereals;maize;maize;grain_maize_corn_popcorn;maize for human consumption;grain_maize_corn_popcorn;11;temporary_crops;maize;maize;maize
11-01-06-000-2;temporary_crops;cereals;maize;maize;green_silo_maize;harvested green;green_silo_maize;11;temporary_crops;maize;maize;maize
11-01-06-000-3;temporary_crops;cereals;maize;maize;other_maize;other Zea species than Z. mays;other_maize;11;temporary_crops;maize;maize;maize
11-01-06-000-4;temporary_crops;cereals;maize;maize;energy_maize;maize for energy production;energy_maize;11;temporary_crops;maize;maize;maize
11-01-06-000-5;temporary_crops;cereals;maize;maize;teosinte;;teosinte;11;temporary_crops;maize;maize;maize
11-01-07-000-0;temporary_crops;cereals;sorghum;unspecified_sorghum;;;unspecified_sorghum;11;temporary_crops;sorghum;sorghum;sorghum
11-01-07-001-0;temporary_crops;cereals;sorghum;sweet_sorghum;;;sweet_sorghum;11;temporary_crops;sorghum;sorghum;sorghum
11-01-07-002-0;temporary_crops;cereals;sorghum;forage_sorghum;;;forage_sorghum;11;temporary_crops;sorghum;sorghum;sorghum
11-01-08-000-0;temporary_crops;cereals;rice;rice;;;rice;11;temporary_crops;rice;rice;rice
11-01-09-000-0;temporary_crops;cereals;teff;teff;;;teff;11;temporary_crops;cereals;other_cereals;cereals
11-01-10-000-0;temporary_crops;cereals;canary_seed_canaryseed;canary_seed_canaryseed;;;canary_seed_canaryseed;11;temporary_crops;cereals;other_cereals;cereals
11-01-11-000-0;temporary_crops;cereals;cereal_mixtures;unspecified_cereal_mixture;;;unspecified_cereal_mixture;11;temporary_crops;cereals;other_cereals;cereals
11-01-11-000-1;temporary_crops;cereals;cereal_mixtures;unspecified_cereal_mixture;cereals_mixture_fodder;;cereals_mixture_fodder;11;temporary_crops;cereals;other_cereals;cereals
11-01-11-000-2;temporary_crops;cereals;cereal_mixtures;unspecified_cereal_mixture;winter_cereals_mixture;;winter_cereals_mixture;11;temporary_crops;cereals;other_cereals;cereals
11-01-11-000-3;temporary_crops;cereals;cereal_mixtures;unspecified_cereal_mixture;spring_cereals_mixture;;spring_cereals_mixture;11;temporary_crops;spring_cereals;other_cereals;cereals
11-01-11-001-0;temporary_crops;cereals;cereal_mixtures;meslin;;A mixture of wheat and rye that is sown and harvested together;meslin;11;temporary_crops;cereals;other_cereals;cereals
11-01-11-001-1;temporary_crops;cereals;cereal_mixtures;meslin;winter_meslin;;winter_meslin;11;temporary_crops;cereals;other_cereals;cereals
11-01-11-001-2;temporary_crops;cereals;cereal_mixtures;meslin;spring_meslin;;spring_meslin;11;temporary_crops;spring_cereals;other_cereals;cereals
11-01-11-002-0;temporary_crops;cereals;cereal_mixtures;wheat_like_mixtures;;mixture of wheat-like cereals such as wheat, barley, rye, oats, triticale;wheat_like_mixtures;11;temporary_crops;cereals;other_cereals;
11-01-11-003-0;temporary_crops;cereals;cereal_mixtures;wheat_maize_mixture;;mixture of wheat-like cereal with maize;wheat_maize_mixtures;11;temporary_crops;cereals;other_cereals;
11-01-11-004-0;temporary_crops;cereals;cereal_mixtures;maize_millet_sorghum;;mixture of maize, millet, sorghum;maize_millet_sorghum;11;temporary_crops;cereals;other_cereals;
11-01-11-005-0;temporary_crops;cereals;cereal_mixtures;maize_rice;;;maize_rice;11;temporary_crops;cereals;other_cereals;
11-01-12-000-0;temporary_crops;cereals;millet;unspecified_millet;;;unspecified_millet;11;temporary_crops;millet;millet;millet
11-01-12-001-0;temporary_crops;cereals;millet;foxtail_millet_moha;;;foxtail_millet_moha;11;temporary_crops;millet;millet;millet
11-01-12-002-0;temporary_crops;cereals;millet;burgu_millet;;Bourgou, hippo grass, Echinochloa stagnina;burgu_millet;11;temporary_crops;millet;millet;millet
11-01-12-003-0;temporary_crops;cereals;millet;finger_millet;;"ragi; Eleusine coracana";finger_millet;11;temporary_crops;millet;millet;millet
11-01-12-004-0;temporary_crops;cereals;millet;pearl_millet;;Cenchrus americanus, commonly known as the synonym Pennisetum glaucum;pearl_millet;11;temporary_crops;millet;millet;millet
11-01-12-005-0;temporary_crops;cereals;millet;hungarian_millet;;Panicum miliaceum;hungarian_millet;11;temporary_crops;millet;millet;millet
11-02-00-000-0;temporary_crops;pseudocereal;;;;;pseudocereal;11;temporary_crops;pseudocereal;pseudocereal;pseudocereal
11-02-00-001-0;temporary_crops;pseudocereal;;amaranth;;;amaranth;11;temporary_crops;pseudocereal;pseudocereal;pseudocereal
11-02-00-002-0;temporary_crops;pseudocereal;;buckwheat;;;buckwheat;11;temporary_crops;pseudocereal;pseudocereal;pseudocereal
11-02-00-002-1;temporary_crops;pseudocereal;;buckwheat;tartary_buckwheat;Fagopyrum tataricum;tartary_buckwheat;11;temporary_crops;pseudocereal;pseudocereal;pseudocereal
11-02-00-003-0;temporary_crops;pseudocereal;;quinoa;;;quinoa;11;temporary_crops;pseudocereal;pseudocereal;pseudocereal
11-03-00-000-0;temporary_crops;vegetables_fruits;;;;;vegetables_fruits;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-01-000-0;temporary_crops;vegetables_fruits;fruit_bearing_vegetables;;;;fruit_bearing_vegetables;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-01-001-0;temporary_crops;vegetables_fruits;fruit_bearing_vegetables;tomato;;;tomato;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-01-002-0;temporary_crops;vegetables_fruits;fruit_bearing_vegetables;aubergine_eggplant;;;aubergine_eggplant;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-01-003-0;temporary_crops;vegetables_fruits;fruit_bearing_vegetables;okra_ladys_finger;;Abelmoschus esculentus;okra_ladys_finger;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-02-000-0;temporary_crops;vegetables_fruits;cucurbits;;;;cucurbits;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-02-001-0;temporary_crops;vegetables_fruits;cucurbits;cucumber_pickle;;;cucumber_pickle;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-02-002-0;temporary_crops;vegetables_fruits;cucurbits;honeydew;;;honeydew;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-02-003-0;temporary_crops;vegetables_fruits;cucurbits;melon;;;melon;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-02-004-0;temporary_crops;vegetables_fruits;cucurbits;pumpkin_squash_gourd;;;pumpkin_squash_gourd;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-02-005-0;temporary_crops;vegetables_fruits;cucurbits;watermelon;;;watermelon;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-02-006-0;temporary_crops;vegetables_fruits;cucurbits;zucchini_courgette;;;zucchini_courgette;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-03-000-0;temporary_crops;vegetables_fruits;capsicum;;;;capsicum;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-03-007-0;temporary_crops;vegetables_fruits;capsicum;bell_pepper_paprika;;;bell_pepper_paprika;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-03-008-0;temporary_crops;vegetables_fruits;capsicum;chili_pepper;;;chili_pepper;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-04-000-0;temporary_crops;vegetables_fruits;leafy_stem_vegetables;;;;leafy_stem_vegetables;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-04-001-0;temporary_crops;vegetables_fruits;leafy_stem_vegetables;rhubarb;;;rhubarb;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-04-002-0;temporary_crops;vegetables_fruits;leafy_stem_vegetables;artichoke;;;artichoke;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-04-003-0;temporary_crops;vegetables_fruits;leafy_stem_vegetables;asparagus;;;asparagus;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-05-000-0;temporary_crops;vegetables_fruits;brassicaceae_cruciferae;;;;brassicaceae_cruciferae;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-000-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;cabbage;;;cabbage;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-000-1;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;cabbage;winter_cabbage;;winter_cabbage;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-000-2;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;cabbage;spring_cabbage;;spring_cabbage;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-001-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;bok_choy_pak_choi;;;bok_choy_pak_choi;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-002-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;broccoli;;;broccoli;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-002-1;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;broccoli;winter_broccoli;;winter_broccoli;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-002-2;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;broccoli;spring_broccoli;;spring_broccoli;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-003-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;brussels_sprouts;;;brussels_sprouts;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-004-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;cauliflower;;;cauliflower;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-004-1;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;cauliflower;winter_cauliflower;;winter_cauliflower;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-004-2;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;cauliflower;spring_cauliflower;;spring_cauliflower;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-005-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;chinese_cabbage;;;chinese_cabbage;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-006-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;collard_greens;;;collard_greens;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-007-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;gai_lan;;;gai_lan;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-008-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;kale;;;kale;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-009-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;kohlrabi;;;kohlrabi;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-010-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;red_cabbage;;;red_cabbage;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-011-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;savoy_cabbage;;;savoy_cabbage;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-012-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;white_cabbage;;;white_cabbage;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-013-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;cauliflower_broccoli;;;cauliflower_broccoli;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-014-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;fodder_cabbage;;;fodder_cabbage;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-015-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;pointed_white_cabbage;;spitskool;pointed_white_cabbage;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-06-016-0;temporary_crops;vegetables_fruits;brassica_oleracea_cabbage;abyssinian_cabbage;;Abyssinian cabbage (Crambe abyssinica);abyssinian_cabbage;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-07-000-0;temporary_crops;vegetables_fruits;celery;;;;celery;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-07-001-0;temporary_crops;vegetables_fruits;celery;celeriac;;;celeriac;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-07-002-0;temporary_crops;vegetables_fruits;celery;leaf_celery;;;leaf_celery;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-07-002-1;temporary_crops;vegetables_fruits;celery;leaf_celery;winter_leaf_celery;;winter_leaf_celery;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-07-002-2;temporary_crops;vegetables_fruits;celery;leaf_celery;spring_leaf_celery;;spring_leaf_celery;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-000-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;;;;salads_lettuce_leaf_vegetables;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-001-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;chard;;;chard;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-002-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;chicory_chicories;;;chicory_chicories;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-002-1;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;chicory_chicories;brussels_chicory;witloof;brussels_chicory;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-003-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;endive;;;endive;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-004-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;iceberg;;;iceberg;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-005-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;lambs_lettuce_rapunzel_mache;;;lambs_lettuce_rapunzel_mache;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-006-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;rocket_arugula;;;rocket_arugula;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-007-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;sorrel;;;sorrel;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-008-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;spinach;;;spinach;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-008-1;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;spinach;spinach_winter;;spinach_winter;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-008-2;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;spinach;spinach_spring;;spinach_spring;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-009-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;purslane;;;purslane;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
11-03-08-010-0;temporary_crops;vegetables_fruits;salads_lettuce_leaf_vegetables;cress;;;cress;11;temporary_crops;vegetables_fruits;vegetables_fruits;vegetables_fruits
